type,item,cat,param,gender,val
prior,goes to the movies,mu,2,NA,2.4242682033218443
prior,goes to the movies,sigma,2,NA,1.036627578549087
predictive,goes to the movies,s1,year,3.25,0.6013721799844839
predictive,goes to the movies,s1,month,8.25,0.7330355654675348
predictive,goes to the movies,s1,2 years,1.75,0.531692780488106
prior,sells things on eBay,mix,null,NA,0.658856806956565
prior,sells things on eBay,mix,1,NA,0.004281325308497478
prior,sells things on eBay,mix,2,NA,0.33686186773493754
prior,sells things on eBay,mu,1,NA,4.875777145382017
prior,sells things on eBay,sigma,1,NA,9.332655819522945
prior,sells things on eBay,mu,2,NA,0.09105433616787198
prior,sells things on eBay,sigma,2,NA,2.452956826193258
predictive,sells things on eBay,s1,year,3.25,0.8013670497480528
predictive,sells things on eBay,s1,5 years,0.75,0.7031419071839476
prior,eats peanut butter,mix,null,NA,0.31480162585947263
prior,eats peanut butter,mix,1,NA,0.2956008189709517
prior,eats peanut butter,mix,2,NA,0.3895975551695758
prior,eats peanut butter,mu,1,NA,4.8771449397318065
prior,eats peanut butter,sigma,1,NA,3.268538584932685
prior,eats peanut butter,mu,2,NA,4.337021348532289
prior,eats peanut butter,sigma,2,NA,0.6281408087816089
predictive,eats peanut butter,s1,month,8.25,0.6877268427203311
predictive,eats peanut butter,s1,5 years,0.75,0.41533940548609455
predictive,eats peanut butter,s1,year,3.25,0.5475113357883835
prior,watches space launches,mix,null,NA,0.44590021951092923
prior,watches space launches,mix,1,NA,0.18940134696319033
prior,watches space launches,mix,2,NA,0.3646984335258804
prior,watches space launches,mu,1,NA,-0.828853740632898
prior,watches space launches,sigma,1,NA,7.3188827354460955
prior,watches space launches,mu,2,NA,-1.6460683621501553
prior,watches space launches,sigma,2,NA,2.4596806168556213
predictive,watches space launches,s1,month,8.25,0.8457406024598648
predictive,watches space launches,s1,year,3.25,0.750762695904461
predictive,watches space launches,s1,2 years,1.75,0.6939050197554015
prior,runs,mix,null,NA,0.5292096176651233
prior,runs,mix,1,NA,0.357532493637932
prior,runs,mix,2,NA,0.11325788869694471
prior,runs,mu,1,NA,5.887842167863015
prior,runs,sigma,1,NA,1.7026533044409007
prior,runs,mu,2,NA,2.769614591728896
prior,runs,sigma,2,NA,5.434914358658716
predictive,runs,s1,year,3.25,0.6057802526995152
predictive,runs,s1,2 months,8.25,0.7366253310583005
predictive,runs,s1,2 years,1.75,0.5362772198806369
prior,drinks beer,mix,null,NA,0.3978211800663777
prior,drinks beer,mix,1,NA,0.13775561697869015
prior,drinks beer,mix,2,NA,0.46442320295493217
prior,drinks beer,mu,1,NA,1.983648816589266
prior,drinks beer,sigma,1,NA,3.659601229475811
prior,drinks beer,mu,2,NA,4.201839208835736
prior,drinks beer,sigma,2,NA,0.8409858290106058
predictive,drinks beer,s1,week,8.25,0.7254383903783725
predictive,drinks beer,s1,year,3.25,0.5921130447630414
param,speakerOptimality,s1,NA,NA,0.9880507981956986
param,nullDist,mu,NA,NA,-2.4682817924767733
param,nullDist,sigma,NA,NA,0.018648707116409622
prior,plays tennis,mix,null,NA,0.4818540678900428
prior,plays tennis,mix,1,NA,0.2209944866325686
prior,plays tennis,mix,2,NA,0.29715144547738864
prior,plays tennis,mu,1,NA,-0.7326520858332515
prior,plays tennis,sigma,1,NA,3.1991415296215564
prior,plays tennis,mu,2,NA,2.7222711599897593
prior,plays tennis,sigma,2,NA,3.0109990518540144
predictive,plays tennis,s1,5 years,0.75,0.5739984603846301
predictive,plays tennis,s1,year,3.25,0.6965113078001718
predictive,plays tennis,s1,2 years,1.75,0.6333220632300466
prior,volunteers for soup kitchens,mix,null,NA,0.8213756608290733
prior,volunteers for soup kitchens,mix,1,NA,0.17528728252968512
prior,volunteers for soup kitchens,mix,2,NA,0.00333705664124165
prior,volunteers for soup kitchens,mu,1,NA,2.3668021294288337
prior,volunteers for soup kitchens,sigma,1,NA,5.247354138176888
prior,volunteers for soup kitchens,mu,2,NA,6.138986706179088
prior,volunteers for soup kitchens,sigma,2,NA,5.358083805069327
predictive,volunteers for soup kitchens,s1,year,3.25,0.8130096126931622
predictive,volunteers for soup kitchens,s1,5 years,0.75,0.718519525902956
prior,writes novels,mix,null,NA,0.9668290119548801
prior,writes novels,mix,1,NA,0.007742858290043688
prior,writes novels,mix,2,NA,0.02542812975507625
prior,writes novels,mu,1,NA,4.62503325054422
prior,writes novels,sigma,1,NA,7.54500323056104
prior,writes novels,mu,2,NA,-0.41617506300099194
prior,writes novels,sigma,2,NA,1.008289170684293
predictive,writes novels,s1,year,3.25,0.9114343948434063
predictive,writes novels,s1,5 years,0.75,0.8579930641419945
prior,eats caviar,mix,null,NA,0.662408679315814
prior,eats caviar,mix,1,NA,0.3332825037954439
prior,eats caviar,mix,2,NA,0.004308816888742127
prior,eats caviar,mu,1,NA,1.4369332257192582
prior,eats caviar,sigma,1,NA,2.4624075156170875
prior,eats caviar,mu,2,NA,-0.43031445518136024
prior,eats caviar,sigma,2,NA,8.096650023944676
predictive,eats caviar,s1,year,3.25,0.767136289418246
predictive,eats caviar,s1,month,8.25,0.8570625881294318
predictive,eats caviar,s1,5 years,0.75,0.659182930797719
prior,wears a bra,mix,null,NA,0.5269100473854875
prior,wears a bra,mix,1,NA,0.20344844510603077
prior,wears a bra,mix,2,NA,0.26964150750848176
prior,wears a bra,mu,1,NA,2.832348152762279
prior,wears a bra,sigma,1,NA,7.52697295229882
prior,wears a bra,mu,2,NA,3.238970633596182
prior,wears a bra,sigma,2,NA,2.8955620802007616
predictive,wears a bra,s1,6 months,6.25,0.7501661186123555
predictive,wears a bra,s1,month,8.25,0.7854596561517387
prior,hikes,mix,null,NA,0.5305379775088621
prior,hikes,mix,1,NA,0.37838923847738565
prior,hikes,mix,2,NA,0.09107278401375223
prior,hikes,mu,1,NA,1.1110734124529975
prior,hikes,sigma,1,NA,2.48846863838844
prior,hikes,mu,2,NA,1.6063846822362393
prior,hikes,sigma,2,NA,2.2664601262658834
predictive,hikes,s1,2 months,8.25,0.8295283965235594
predictive,hikes,s1,2 years,1.75,0.6679995425986154
predictive,hikes,s1,year,3.25,0.7277814663880425
prior,climbs mountains,mix,null,NA,0.6301988478209218
prior,climbs mountains,mix,1,NA,0.31788523223642007
prior,climbs mountains,mix,2,NA,0.051915919942658026
prior,climbs mountains,mu,1,NA,-0.30852280332151993
prior,climbs mountains,sigma,1,NA,1.4161428585648537
prior,climbs mountains,mu,2,NA,2.877497418317944
prior,climbs mountains,sigma,2,NA,3.8616295168176293
predictive,climbs mountains,s1,5 years,0.75,0.7124761865926031
predictive,climbs mountains,s1,year,3.25,0.8084541444374782
predictive,climbs mountains,s1,2 years,1.75,0.7605600153266937
prior,drinks coffee,mix,null,NA,0.2545677781487738
prior,drinks coffee,mix,1,NA,0.7411133963919376
prior,drinks coffee,mix,2,NA,0.0043188254592885994
prior,drinks coffee,mu,1,NA,5.495369202224538
prior,drinks coffee,sigma,1,NA,1.4954356597736478
prior,drinks coffee,mu,2,NA,0.981545154703781
prior,drinks coffee,sigma,2,NA,5.360121766105294
predictive,drinks coffee,s1,2 weeks,8.25,0.6382116478743383
predictive,drinks coffee,s1,year,3.25,0.4921800432167863
prior,plays the banjo,mix,null,NA,0.816843968153244
prior,plays the banjo,mix,1,NA,0.1571778903574342
prior,plays the banjo,mix,2,NA,0.02597814148932193
prior,plays the banjo,mu,1,NA,2.445070532383397
prior,plays the banjo,sigma,1,NA,6.814296402968466
prior,plays the banjo,mu,2,NA,1.7738060560077429
prior,plays the banjo,sigma,2,NA,7.760806983802468
predictive,plays the banjo,s1,2 years,1.75,0.7623720750236026
predictive,plays the banjo,s1,5 years,0.75,0.7145155487148122
predictive,plays the banjo,s1,year,3.25,0.8099942963709028
prior,writes poems,mix,null,NA,0.7677008078618426
prior,writes poems,mix,1,NA,0.07438689167052671
prior,writes poems,mix,2,NA,0.15791230046763072
prior,writes poems,mu,1,NA,1.0541886810678989
prior,writes poems,sigma,1,NA,4.599726402433589
prior,writes poems,mu,2,NA,1.7204302630852908
prior,writes poems,sigma,2,NA,1.7022616430185735
predictive,writes poems,s1,year,3.25,0.8046905868454032
predictive,writes poems,s1,5 years,0.75,0.70750908859448
prior,goes to the ballet,mix,null,NA,0.8851195640615839
prior,goes to the ballet,mix,1,NA,0.10625767453555447
prior,goes to the ballet,mix,2,NA,0.008622761402861613
prior,goes to the ballet,mu,1,NA,0.9642884349450469
prior,goes to the ballet,sigma,1,NA,2.329226021654904
prior,goes to the ballet,mu,2,NA,2.540845259092748
prior,goes to the ballet,sigma,2,NA,4.657912862021476
predictive,goes to the ballet,s1,year,3.25,0.8684875134429026
predictive,goes to the ballet,s1,2 years,1.75,0.8324940086587995
predictive,goes to the ballet,s1,month,8.25,0.9231931304325819
prior,listens to Pandora,mix,null,NA,0.6701124809306055
prior,listens to Pandora,mix,1,NA,0.32673902367284907
prior,listens to Pandora,mix,2,NA,0.0031484953965454916
prior,listens to Pandora,mu,1,NA,4.6200767701957375
prior,listens to Pandora,sigma,1,NA,3.1431797863915563
prior,listens to Pandora,mu,2,NA,1.43175103305839
prior,listens to Pandora,sigma,2,NA,8.064089095709434
predictive,listens to Pandora,s1,year,3.25,0.6993949511997299
predictive,listens to Pandora,s1,week,8.25,0.8089669011444469
prior,listens to live music,mix,null,NA,0.4054567214806436
prior,listens to live music,mix,1,NA,0.5737322546480843
prior,listens to live music,mix,2,NA,0.02081102387127209
prior,listens to live music,mu,1,NA,1.0519094956107438
prior,listens to live music,sigma,1,NA,1.4739290387369692
prior,listens to live music,mu,2,NA,0.8562501170672476
prior,listens to live music,sigma,2,NA,4.654679227154702
predictive,listens to live music,s1,month,8.25,0.8132657836045328
predictive,listens to live music,s1,year,3.25,0.7052612031776649
prior,wears a watch,mix,null,NA,0.4498666013032369
prior,wears a watch,mix,1,NA,0.13536088226264337
prior,wears a watch,mix,2,NA,0.4147725164341198
prior,wears a watch,mu,1,NA,-0.07996487189537405
prior,wears a watch,sigma,1,NA,7.117895812240384
prior,wears a watch,mu,2,NA,5.814766822149977
prior,wears a watch,sigma,2,NA,0.1570335114910855
predictive,wears a watch,s1,month,8.25,0.7107012630954141
predictive,wears a watch,s1,6 months,6.25,0.6683029397965162
prior,sells companies,mix,null,NA,0.696011910525002
prior,sells companies,mix,1,NA,0.005701050152571622
prior,sells companies,mix,2,NA,0.29828703932242645
prior,sells companies,mu,1,NA,2.2306547618936747
prior,sells companies,sigma,1,NA,6.4373236913233995
prior,sells companies,mu,2,NA,-0.5855239247903228
prior,sells companies,sigma,2,NA,1.7913189509417862
predictive,sells companies,s1,5 years,0.75,0.7577282763631903
predictive,sells companies,s1,year,3.25,0.841951551205533
prior,wears a suit,mix,null,NA,0.6642060201753596
prior,wears a suit,mix,1,NA,0.23611266064727376
prior,wears a suit,mix,2,NA,0.09968131917736664
prior,wears a suit,mu,1,NA,2.4976359526626766
prior,wears a suit,sigma,1,NA,3.9500624975189567
prior,wears a suit,mu,2,NA,5.026453752303496
prior,wears a suit,sigma,2,NA,3.312232230557129
predictive,wears a suit,s1,week,8.25,0.8257574112843874
predictive,wears a suit,s1,6 months,6.25,0.7953660510917921
prior,volunteers for political campaigns,mix,null,NA,0.8205823688949087
prior,volunteers for political campaigns,mix,1,NA,0.11631632603687454
prior,volunteers for political campaigns,mix,2,NA,0.06310130506821683
prior,volunteers for political campaigns,mu,1,NA,0.23378584696911275
prior,volunteers for political campaigns,sigma,1,NA,1.5902138049714267
prior,volunteers for political campaigns,mu,2,NA,4.139874640852213
prior,volunteers for political campaigns,sigma,2,NA,0.9700451446372087
predictive,volunteers for political campaigns,s1,year,3.25,0.8325641590247945
predictive,volunteers for political campaigns,s1,5 years,0.75,0.7448543476691434
prior,wears slacks,mix,null,NA,0.26245219941410053
prior,wears slacks,mix,1,NA,0.7255652550746616
prior,wears slacks,mix,2,NA,0.011982545511237825
prior,wears slacks,mu,1,NA,4.66987448441796
prior,wears slacks,sigma,1,NA,1.3090120083652437
prior,wears slacks,mu,2,NA,1.6482591403182596
prior,wears slacks,sigma,2,NA,4.999702351167798
predictive,wears slacks,s1,month,8.25,0.6622421904046268
predictive,wears slacks,s1,6 months,6.25,0.6165734540131801
prior,watches professional football,mix,null,NA,0.3790763521901112
prior,watches professional football,mix,1,NA,0.6177393621236638
prior,watches professional football,mix,2,NA,0.0031842856862251234
prior,watches professional football,mu,1,NA,2.741879159351811
prior,watches professional football,sigma,1,NA,1.4969563798513263
prior,watches professional football,mu,2,NA,-0.9373216996900737
prior,watches professional football,sigma,2,NA,6.8311815042980015
predictive,watches professional football,s1,year,3.25,0.6242976949964006
predictive,watches professional football,s1,2 years,1.75,0.5556647354662688
predictive,watches professional football,s1,month,8.25,0.7515177112964774
prior,wears socks,mix,null,NA,0.13775860352020675
prior,wears socks,mix,1,NA,0.3780228904059826
prior,wears socks,mix,2,NA,0.48421850607381084
prior,wears socks,mu,1,NA,3.717452481854707
prior,wears socks,sigma,1,NA,4.564272859366611
prior,wears socks,mu,2,NA,2.9606424155645072
prior,wears socks,sigma,2,NA,3.989402561215684
predictive,wears socks,s1,week,8.25,0.684772722676092
predictive,wears socks,s1,6 months,6.25,0.6404966180573874
prior,smokes cigarettes,mix,null,NA,0.7778249948458555
prior,smokes cigarettes,mix,1,NA,0.01739497506294862
prior,smokes cigarettes,mix,2,NA,0.20478003009119583
prior,smokes cigarettes,mu,1,NA,-1.2620297111472665
prior,smokes cigarettes,sigma,1,NA,5.889530774904415
prior,smokes cigarettes,mu,2,NA,6.82061974494718
prior,smokes cigarettes,sigma,2,NA,2.970186328049749
predictive,smokes cigarettes,s1,year,3.25,0.7365930373837363
predictive,smokes cigarettes,s1,month,8.25,0.8357895889082951
prior,goes to the movies,mix,null,NA,0.2787866462535698
prior,goes to the movies,mix,1,NA,0.21235597814215504
prior,goes to the movies,mix,2,NA,0.5088573756042751
prior,goes to the movies,mu,1,NA,3.259499731939286
prior,goes to the movies,sigma,1,NA,6.805371838559063
prior,goes to the movies,mu,2,NA,2.4242682033218443
prior,goes to the movies,sigma,2,NA,1.036627578549087
predictive,goes to the movies,s1,year,3.25,0.6013721799844839
predictive,goes to the movies,s1,month,8.25,0.7330355654675348
predictive,goes to the movies,s1,2 years,1.75,0.531692780488106
prior,sells things on eBay,mix,null,NA,0.658856806956565
prior,sells things on eBay,mix,1,NA,0.004281325308497478
prior,sells things on eBay,mix,2,NA,0.33686186773493754
prior,sells things on eBay,mu,1,NA,4.875777145382017
prior,sells things on eBay,sigma,1,NA,9.332655819522945
prior,sells things on eBay,mu,2,NA,0.09105433616787198
prior,sells things on eBay,sigma,2,NA,2.452956826193258
predictive,sells things on eBay,s1,year,3.25,0.8013670497480528
predictive,sells things on eBay,s1,5 years,0.75,0.7031419071839476
prior,eats peanut butter,mix,null,NA,0.31480162585947263
prior,eats peanut butter,mix,1,NA,0.2956008189709517
prior,eats peanut butter,mix,2,NA,0.3895975551695758
prior,eats peanut butter,mu,1,NA,4.8771449397318065
prior,eats peanut butter,sigma,1,NA,3.268538584932685
prior,eats peanut butter,mu,2,NA,4.337021348532289
prior,eats peanut butter,sigma,2,NA,0.6281408087816089
predictive,eats peanut butter,s1,month,8.25,0.6877268427203311
predictive,eats peanut butter,s1,5 years,0.75,0.41533940548609455
predictive,eats peanut butter,s1,year,3.25,0.5475113357883835
prior,watches space launches,mix,null,NA,0.44590021951092923
prior,watches space launches,mix,1,NA,0.18940134696319033
prior,watches space launches,mix,2,NA,0.3646984335258804
prior,watches space launches,mu,1,NA,-0.828853740632898
prior,watches space launches,sigma,1,NA,7.3188827354460955
prior,watches space launches,mu,2,NA,-1.6460683621501553
prior,watches space launches,sigma,2,NA,2.4596806168556213
predictive,watches space launches,s1,month,8.25,0.8457406024598648
predictive,watches space launches,s1,year,3.25,0.750762695904461
predictive,watches space launches,s1,2 years,1.75,0.6939050197554015
prior,runs,mix,null,NA,0.5108573643411624
prior,runs,mix,1,NA,0.37981237298175596
prior,runs,mix,2,NA,0.10933026267708168
prior,runs,mu,1,NA,5.887842167863015
prior,runs,sigma,1,NA,1.7026533044409007
prior,runs,mu,2,NA,2.769614591728896
prior,runs,sigma,2,NA,5.434914358658716
predictive,runs,s1,year,3.25,0.5963906350384275
predictive,runs,s1,2 months,8.25,0.7289578076130099
predictive,runs,s1,2 years,1.75,0.526526043625203
prior,drinks beer,mix,null,NA,0.3978211800663777
prior,drinks beer,mix,1,NA,0.13775561697869015
prior,drinks beer,mix,2,NA,0.46442320295493217
prior,drinks beer,mu,1,NA,1.983648816589266
prior,drinks beer,sigma,1,NA,3.659601229475811
prior,drinks beer,mu,2,NA,4.201839208835736
prior,drinks beer,sigma,2,NA,0.8409858290106058
predictive,drinks beer,s1,week,8.25,0.7254383903783725
